Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
""	"*"	"4"	" 2.2857736"	""	"1.075"	"                                                                      "	""
""	"*"	"6"	" 2.2870796"	""	"1.180"	"                                                                      "	""
""	"*"	"3"	" 2.3048540"	""	"0.660"	"                                                                      "	""
""	"*"	"5"	" 2.3094911"	""	"0.945"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"*"	"6"	" 2.3159181"	""	"1.080"	"  17  7I*        :    16                         (4I*)(3P). (6I*) 7I* "	""
""	"*"	"5"	" 2.3225409"	""	"0.940"	"                                                                      "	""
""	"*"	"6"	" 2.3745553"	""	"0.930"	"                                                                      "	""
""	"*"	"4"	" 2.3816450"	""	"0.990"	"                                                                      "	""
""	"*"	"9"	" 2.3827457"	""	"1.270"	"                                                                      "	""
""	"*"	"5"	" 2.3837751"	""	"0.925"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6G*).6s"	"7G*"	"7"	" 2.3893292"	""	"1.260"	"  54             :    16                         (4I*)(3F). (4H*) 5H* "	""
""	"*"	"6"	" 2.3905478"	""	"1.055"	"                                                                      "	""
""	"*"	"6"	" 2.4088320"	""	"1.040"	"                                                                      "	""
""	"*"	"4"	" 2.4288803"	""	"0.785"	"                                                                      "	""
""	"*"	"5"	" 2.4360443"	""	"1.070"	"                                                                      "	""
""	"*"	"5"	" 2.4425948"	""	"0.560"	"                                                                      "	""
""	"*"	"7"	" 2.4482173"	""	"1.090"	"                                                                      "	""
""	"*"	"4"	" 2.4511065"	""	"0.920"	"                                                                      "	""
""	"*"	"8"	" 2.4626789"	""	"1.290"	"                                                                      "	""
""	"*"	"4"	" 2.4743296"	""	"0.910"	"                                                                      "	""
""	"*"	"6"	" 2.4790288"	""	"0.920"	"                                                                      "	""
""	"*"	"4"	" 2.4854683"	""	"0.900"	"                                                                      "	""
"4f3.(2H*).5d.6s2"	"*"	"6"	" 2.4944373"	""	"1.015"	"  23  3K*        :    16                         (2H*) 3I*            "	""
""	"*"	"5"	" 2.5016183"	""	"0.960"	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"10"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"12"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"11"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"6"	" 2.5133671"	""	"0.595"	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"7"	" 2.6334671"	""	"0.830"	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"8"	" 2.8120810"	""	"0.975"	"                                                                      "	""
"4f3.(4I*).5d (5L*).6s.6p.(3P*)"	"7M"	"9"	" 3.0084755"	""	"1.065"	"                                                                      "	""
""	"*"	"3"	" 2.5146422"	""	"0.895"	"                                                                      "	""
"4f4.6s.6p"	"5K*"	"5"	" 2.5169877"	""	"0.775"	"                                                                      "	""
