Step 426, Time: 0.050408, CPUs: 64
Step 427, Time: 0.0504104, CPUs: 64
Step 428, Time: 0.0504151, CPUs: 64
Step 429, Time: 0.0504245, CPUs: 64
Step 430, Time: 0.0504433, CPUs: 64
Step 431, Time: 0.050448, CPUs: 64
Step 432, Time: 0.0504527, CPUs: 64
Step 433, Time: 0.0504621, CPUs: 64
Step 434, Time: 0.0504809, CPUs: 64
Step 435, Time: 0.0504833, CPUs: 64
Step 436, Time: 0.0504857, CPUs: 64
Step 437, Time: 0.0504904, CPUs: 64
Step 438, Time: 0.0504998, CPUs: 64
Step 439, Time: 0.0505186, CPUs: 64
Step 440, Time: 0.0505233, CPUs: 64
Step 441, Time: 0.0505281, CPUs: 64
Step 442, Time: 0.0505375, CPUs: 64
Step 443, Time: 0.0505563, CPUs: 64
Step 444, Time: 0.0505569, CPUs: 64
Step 445, Time: 0.0505575, CPUs: 64
Step 446, Time: 0.0505587, CPUs: 64
Step 447, Time: 0.0505611, CPUs: 64
Step 448, Time: 0.0505658, CPUs: 64
Step 449, Time: 0.0505752, CPUs: 64
Step 450, Time: 0.0505941, CPUs: 64
Step 451, Time: 0.0505988, CPUs: 64
Step 452, Time: 0.0506035, CPUs: 64
Step 453, Time: 0.050613, CPUs: 64
Step 454, Time: 0.0506318, CPUs: 64
Step 455, Time: 0.0506342, CPUs: 64
Step 456, Time: 0.0506366, CPUs: 64
Step 457, Time: 0.0506413, CPUs: 64
Step 458, Time: 0.0506507, CPUs: 64
Step 459, Time: 0.0506696, CPUs: 64
Step 460, Time: 0.0506744, CPUs: 64
Step 461, Time: 0.0506791, CPUs: 64
Step 462, Time: 0.0506885, CPUs: 64
Step 463, Time: 0.0507075, CPUs: 64
Step 464, Time: 0.0507086, CPUs: 64
Step 465, Time: 0.0507098, CPUs: 64
Step 466, Time: 0.0507122, CPUs: 64
Step 467, Time: 0.0507169, CPUs: 64
Step 468, Time: 0.0507264, CPUs: 64
Step 469, Time: 0.0507453, CPUs: 64
Step 470, Time: 0.0507642, CPUs: 64
Step 471, Time: 0.0507832, CPUs: 64
Step 472, Time: 0.0507856, CPUs: 64
Step 473, Time: 0.0507879, CPUs: 64
Step 474, Time: 0.0507927, CPUs: 64
Step 475, Time: 0.0508021, CPUs: 64
Step 476, Time: 0.0508211, CPUs: 64
Step 477, Time: 0.0508258, CPUs: 64
Step 478, Time: 0.0508306, CPUs: 64
Step 479, Time: 0.0508401, CPUs: 64
Step 480, Time: 0.050859, CPUs: 64
Step 481, Time: 0.0508602, CPUs: 64
Step 482, Time: 0.0508614, CPUs: 64
Step 483, Time: 0.0508638, CPUs: 64
Step 484, Time: 0.0508685, CPUs: 64
Step 485, Time: 0.050878, CPUs: 64
Step 486, Time: 0.050897, CPUs: 64
Step 487, Time: 0.0509017, CPUs: 64
Step 488, Time: 0.0509065, CPUs: 64
Step 489, Time: 0.050916, CPUs: 64
Step 490, Time: 0.050935, CPUs: 64
Step 491, Time: 0.0509374, CPUs: 64
Step 492, Time: 0.0509397, CPUs: 64
Step 493, Time: 0.0509445, CPUs: 64
Step 494, Time: 0.050954, CPUs: 64
Step 495, Time: 0.050973, CPUs: 64
Step 496, Time: 0.0509778, CPUs: 64
Step 497, Time: 0.0509825, CPUs: 64
Step 498, Time: 0.050992, CPUs: 64
Step 499, Time: 0.0510111, CPUs: 64
Step 500, Time: 0.0510122, CPUs: 64
Step 501, Time: 0.0510134, CPUs: 64
Step 502, Time: 0.0510158, CPUs: 64
Step 503, Time: 0.0510206, CPUs: 64
Step 504, Time: 0.0510301, CPUs: 64
Step 505, Time: 0.0510491, CPUs: 64
