Step 344, Time: 0.0357616, CPUs: 64
Step 345, Time: 0.0357626, CPUs: 64
Step 346, Time: 0.0357647, CPUs: 64
Step 347, Time: 0.035769, CPUs: 64
Step 348, Time: 0.0357775, CPUs: 64
Step 349, Time: 0.0357945, CPUs: 64
Step 350, Time: 0.0358285, CPUs: 64
Step 351, Time: 0.0358625, CPUs: 64
Step 352, Time: 0.0358966, CPUs: 64
Step 353, Time: 0.0358971, CPUs: 64
Step 354, Time: 0.0358976, CPUs: 64
Step 355, Time: 0.0358987, CPUs: 64
Step 356, Time: 0.0359008, CPUs: 64
Step 357, Time: 0.0359051, CPUs: 64
Step 358, Time: 0.0359136, CPUs: 64
Step 359, Time: 0.0359307, CPUs: 64
Step 360, Time: 0.0359648, CPUs: 64
Step 361, Time: 0.0359669, CPUs: 64
Step 362, Time: 0.0359691, CPUs: 64
Step 363, Time: 0.0359733, CPUs: 64
Step 364, Time: 0.0359819, CPUs: 64
Step 365, Time: 0.035999, CPUs: 64
Step 366, Time: 0.0360332, CPUs: 64
Step 367, Time: 0.0360674, CPUs: 64
Step 368, Time: 0.0361017, CPUs: 64
Step 369, Time: 0.036136, CPUs: 64
Step 370, Time: 0.0361703, CPUs: 64
Step 371, Time: 0.0362046, CPUs: 64
Step 372, Time: 0.036239, CPUs: 64
Step 373, Time: 0.0362735, CPUs: 64
Step 374, Time: 0.0363079, CPUs: 64
Step 375, Time: 0.036309, CPUs: 64
Step 376, Time: 0.0363101, CPUs: 64
Step 377, Time: 0.0363122, CPUs: 64
Step 378, Time: 0.0363165, CPUs: 64
Step 379, Time: 0.0363252, CPUs: 64
Step 380, Time: 0.0363424, CPUs: 64
Step 381, Time: 0.0363769, CPUs: 64
Step 382, Time: 0.0364115, CPUs: 64
Step 383, Time: 0.0364461, CPUs: 64
Step 384, Time: 0.0364466, CPUs: 64
Step 385, Time: 0.0364472, CPUs: 64
Step 386, Time: 0.0364483, CPUs: 64
Step 387, Time: 0.0364504, CPUs: 64
Step 388, Time: 0.0364547, CPUs: 64
Step 389, Time: 0.0364634, CPUs: 64
Step 390, Time: 0.0364807, CPUs: 64
Step 391, Time: 0.0365154, CPUs: 64
Step 392, Time: 0.0365501, CPUs: 64
Step 393, Time: 0.0365848, CPUs: 64
Step 394, Time: 0.0365859, CPUs: 64
Step 395, Time: 0.0365869, CPUs: 64
Step 396, Time: 0.0365891, CPUs: 64
Step 397, Time: 0.0365935, CPUs: 64
Step 398, Time: 0.0366021, CPUs: 64
Step 399, Time: 0.0366195, CPUs: 64
Step 400, Time: 0.0366543, CPUs: 64
Step 401, Time: 0.0366565, CPUs: 64
Step 402, Time: 0.0366587, CPUs: 64
Step 403, Time: 0.036663, CPUs: 64
Step 404, Time: 0.0366717, CPUs: 64
Step 405, Time: 0.0366891, CPUs: 64
Step 406, Time: 0.036724, CPUs: 64
